Nom gare;Code Gare;Type jour;Année;Date de comptage;Ligne;Axe;Tranche horaire;Montants
ACHERES VILLE;87381657;Dimanche;2014;2014-05-18;A;A;De 16h à 20h;625
ACHERES VILLE;87381657;JOB;2018;2018-03-27;A;A;De 6h à 10h;2397
CERGY LE HAUT;87382655;JOB;2018;2018-03-27;A;A;De 16h à 20h;1005
CERGY PREFECTURE;87381905;JOB;2018;2018-03-27;A;A;De 16h à 20h;5461
HOUILLES CARRIERES SUR SEINE;87386409;Samedi;2014;2014-05-17;A;A;De 6h à 10h;1362
AEROPORT CHARLES DE GAULLE 1;87271460;Dimanche;2019;2019-03-24;B;B;De 16h à 20h;392
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;Dimanche;2019;2019-03-24;B;B;Après 20h;3610
DRANCY;87271403;JOB;2019;2019-03-21;B;B;De 10h à 16h;567
DRANCY;87271403;Samedi;2019;2019-03-16;B;B;De 10h à 16h;3610
LA COURNEUVE AUBERVILLIERS;87271304;JOB;2019;2019-03-21;B;B;De 6h à 10h;1421
LA PLAINE STADE DE FRANCE;87164798;Dimanche;2019;2019-03-17;B;B;Avant 6h;143
LA PLAINE STADE DE FRANCE;87164798;Dimanche;2019;2019-03-17;B;B;De 6h à 10h;1336
LA PLAINE STADE DE FRANCE;87164798;Samedi;2019;2019-03-16;B;B;Avant 6h;308
LE BLANC MESNIL;87271478;Samedi;2019;2019-03-16;B;B;De 6h à 10h;1046
PARC DES EXPOSITIONS;87271486;JOB;2019;2019-03-28;B;B;De 16h à 20h;2867
PARC DES EXPOSITIONS;87271486;Samedi;2019;2019-03-16;B;B;De 10h à 16h;717
SEVRAN BEAUDOTTES;87271445;JOB;2019;2019-03-21;B;B;Après 20h;95
VERT GALANT;87271437;JOB;2019;2019-03-28;B;B;Avant 6h;513
VILLEPARISIS MITRY LE NEUF;87271510;Samedi;2019;2019-03-16;B;B;Avant 6h;106
VILLEPINTE;87271452;JOB;2019;2019-03-28;B;B;De 6h à 10h;2174
ARPAJON;87545467;Samedi;2017;2017-04-22;C;C;De 16h à 20h;350
BIEVRES;87393546;Samedi;2017;2017-04-22;C;C;Avant 6h;4
BRETIGNY;87545194;JOB;2017;2017-04-25;C;C;De 10h à 16h;2134
CERNAY;87276063;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;143
CHAVILLE VELIZY;87393173;Dimanche;2017;2017-04-23;C;C;Avant 6h;3
ACHERES GRAND CORMIER;87386052;Dimanche;2014;2014-05-18;A;A;Avant 6h;3
CHAVILLE VELIZY;87393173;JOB;2017;2017-04-25;C;C;Avant 6h;30
CONFLANS FIN D'OISE;87381459;Samedi;2014;2014-05-17;A;A;De 6h à 10h;606
ACHERES VILLE;87381657;Samedi;2014;2014-05-17;A;A;De 16h à 20h;771
CHILLY MAZARIN;87393637;JOB;2017;2017-04-25;C;C;De 16h à 20h;485
NEUVILLE UNIVERSITE;87334482;Samedi;2014;2014-05-17;A;A;Après 20h;196
CERGY SAINT-CHRISTOPHE;87382499;Samedi;2014;2014-05-17;A;A;Avant 6h;135
CHOISY LE ROI;87545285;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;1422
NEUVILLE UNIVERSITE;87334482;Samedi;2014;2014-05-17;A;A;De 16h à 20h;408
NEUVILLE UNIVERSITE;87334482;Samedi;2014;2014-05-17;A;A;Avant 6h;22
DOURDAN LA FORET;87540179;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;0
SARTROUVILLE;87386417;Dimanche;2014;2014-05-18;A;A;Avant 6h;34
SARTROUVILLE;87386417;Dimanche;2014;2014-05-18;A;A;De 10h à 16h;2345
EPINAY SUR ORGE;87545228;JOB;2017;2017-04-25;C;C;De 10h à 16h;1137
AEROPORT CHARLES DE GAULLE 1;87271460;Samedi;2019;2019-03-23;B;B;De 10h à 16h;2476
SARTROUVILLE;87386417;JOB;2018;2018-03-27;A;A;Avant 6h;175
ETAMPES;87545137;Samedi;2017;2017-04-22;C;C;Après 20h;174
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-21;B;B;Avant 6h;0
SARTROUVILLE;87386417;Samedi;2014;2014-05-17;A;A;De 10h à 16h;3095
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;JOB;2017;2017-04-25;C;C;Après 20h;182
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-28;B;B;De 16h à 20h;4408
AEROPORT CHARLES DE GAULLE 1;87271460;Samedi;2019;2019-03-16;B;B;Avant 6h;82
GARE DE MONNERVILLE;87551111;Samedi;2017;2017-04-22;C;C;De 16h à 20h;0
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-21;B;B;De 6h à 10h;0
AEROPORT CHARLES DE GAULLE 1;87271460;Samedi;2019;2019-03-16;B;B;De 10h à 16h;1772
GENNEVILLIERS;87271205;Samedi;2017;2017-04-22;C;C;De 10h à 16h;703
LA COURNEUVE AUBERVILLIERS;87271304;JOB;2019;2019-03-28;B;B;Avant 6h;1104
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;Samedi;2019;2019-03-16;B;B;De 6h à 10h;1665
IGNY;87393561;Samedi;2017;2017-04-22;C;C;Avant 6h;8
LA PLAINE STADE DE FRANCE;87164798;Dimanche;2019;2019-03-17;B;B;De 10h à 16h;3618
DRANCY;87271403;JOB;2019;2019-03-28;B;B;Après 20h;457
INVALIDES;87393033;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;5513
LA PLAINE STADE DE FRANCE;87164798;JOB;2019;2019-03-21;B;B;De 10h à 16h;1551
DRANCY;87271403;Samedi;2019;2019-03-16;B;B;Après 20h;851
IVRY SUR SEINE;87545301;Samedi;2017;2017-04-22;C;C;De 16h à 20h;1116
LE BLANC MESNIL;87271478;Dimanche;2019;2019-03-17;B;B;De 6h à 10h;625
DRANCY;87271403;Samedi;2019;2019-03-16;B;B;De 16h à 20h;1858
JUVISY;87545244;JOB;2017;2017-04-25;C;C;De 6h à 10h;21489
LE BOURGET;87271395;Dimanche;2019;2019-03-17;B;B;Après 20h;1076
LA PLAINE STADE DE FRANCE;87164798;JOB;2019;2019-03-21;B;B;Après 20h;766
LA NORVILLE SAINT-GERMAIN LES ARPAJON;87545459;Samedi;2017;2017-04-22;C;C;Après 20h;43
LE BOURGET;87271395;JOB;2019;2019-03-28;B;B;De 16h à 20h;4303
LA PLAINE STADE DE FRANCE;87164798;JOB;2019;2019-04-02;B;B;Avant 6h;123
LARDY;87545160;Samedi;2017;2017-04-22;C;C;Après 20h;35
LE BOURGET;87271395;Samedi;2019;2019-03-16;B;B;Après 20h;2034
PARIS NORD;87271031;JOB;2019;2019-03-28;B;B;De 16h à 20h;24822
LARDY;87545160;Samedi;2017;2017-04-22;C;C;De 10h à 16h;126
LE BOURGET;87271395;Samedi;2019;2019-03-16;B;B;De 6h à 10h;4022
SEVRAN BEAUDOTTES;87271445;JOB;2019;2019-03-21;B;B;De 6h à 10h;647
LES ARDOINES;87492108;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;262
MITRY CLAYE;87271528;Samedi;2019;2019-03-16;B;B;De 6h à 10h;642
SEVRAN LIVRY;87271429;JOB;2019;2019-03-28;B;B;De 6h à 10h;4478
LES GRESILLONS;87272146;Dimanche;2017;2017-04-23;C;C;Après 20h;117
PARIS NORD;87271031;Dimanche;2019;2019-03-17;B;B;De 10h à 16h;30986
VERT GALANT;87271437;Dimanche;2019;2019-03-17;B;B;De 16h à 20h;1164
ACHERES GRAND CORMIER;87386052;Samedi;2014;2014-05-17;A;A;De 6h à 10h;54
SEVRAN LIVRY;87271429;Dimanche;2019;2019-03-17;B;B;De 6h à 10h;772
VERT GALANT;87271437;Dimanche;2019;2019-03-17;B;B;De 6h à 10h;751
LES SAULES;87546226;Samedi;2017;2017-04-22;C;C;De 10h à 16h;609
VERT GALANT;87271437;Samedi;2019;2019-03-16;B;B;De 6h à 10h;1790
VILLEPINTE;87271452;Dimanche;2019;2019-03-17;B;B;De 16h à 20h;623
LONGJUMEAU;87393611;Samedi;2017;2017-04-22;C;C;De 16h à 20h;89
VILLEPARISIS MITRY LE NEUF;87271510;JOB;2019;2019-03-21;B;B;Avant 6h;5
AMPERE WAGRAM;87771111;Samedi;2017;2017-04-22;C;C;De 6h à 10h;0
CERGY LE HAUT;87382655;Samedi;2014;2014-05-17;A;A;Après 20h;579
VILLEPARISIS MITRY LE NEUF;87271510;JOB;2019;2019-03-28;B;B;De 10h à 16h;1707
ARPAJON;87545467;Dimanche;2017;2017-04-23;C;C;Avant 6h;28
MAROLLES EN HUREPOIX;87545186;JOB;2017;2017-04-25;C;C;De 6h à 10h;2133
VILLEPARISIS MITRY LE NEUF;87271510;Samedi;2019;2019-03-16;B;B;De 16h à 20h;1046
ARPAJON;87545467;JOB;2017;2017-04-25;C;C;De 10h à 16h;687
MASSY PALAISEAU;87393579;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;747
VILLEPINTE;87271452;JOB;2019;2019-03-28;B;B;De 16h à 20h;789
ATHIS MONS;87545251;Samedi;2017;2017-04-22;C;C;Avant 6h;17
CERGY SAINT-CHRISTOPHE;87382499;JOB;2018;2018-03-27;A;A;Avant 6h;449
AMPERE WAGRAM;87771111;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;4
AVENUE DU PRESIDENT KENNEDY - MAISON DE RADIO FRANCE;87543207;Dimanche;2017;2017-04-23;C;C;Avant 6h;16
CERGY SAINT-CHRISTOPHE;87382499;Samedi;2014;2014-05-17;A;A;De 10h à 16h;4362
AMPERE WAGRAM;87771111;JOB;2017;2017-04-25;C;C;Après 20h;0
BIBLIOTHEQUE FRANCOIS MITTERRAND;87328328;JOB;2017;2017-04-25;C;C;De 10h à 16h;9354
MAISONS LAFFITTE;87386425;JOB;2018;2018-03-27;A;A;De 10h à 16h;2247
AVENUE HENRI MARTIN;87381046;JOB;2017;2017-04-25;C;C;De 10h à 16h;413
CERNAY;87276063;Samedi;2017;2017-04-22;C;C;De 16h à 20h;310
NEUVILLE UNIVERSITE;87334482;Dimanche;2014;2014-05-18;A;A;Après 20h;201
AVENUE HENRI MARTIN;87381046;Samedi;2017;2017-04-22;C;C;Après 20h;90
CHANVAL;87661111;Samedi;2017;2017-04-22;C;C;De 6h à 10h;0
NEUVILLE UNIVERSITE;87334482;Dimanche;2014;2014-05-18;A;A;De 16h à 20h;397
BIBLIOTHEQUE FRANCOIS MITTERRAND;87328328;Samedi;2017;2017-04-22;C;C;Après 20h;5621
CHEMIN D'ANTONY;87546317;Samedi;2017;2017-04-22;C;C;Après 20h;17
MONTIGNY BEAUCHAMP;87276089;JOB;2017;2017-04-25;C;C;De 10h à 16h;904
BIBLIOTHEQUE FRANCOIS MITTERRAND;87328328;Samedi;2017;2017-04-22;C;C;De 16h à 20h;9058
EGLY;87545475;Dimanche;2017;2017-04-23;C;C;Après 20h;16
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-21;B;B;Après 20h;130
BIEVRES;87393546;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;47
EGLY;87545475;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;118
NEUILLY PORTE MAILLOT;87381020;Samedi;2017;2017-04-22;C;C;Avant 6h;19
BRETIGNY;87545194;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;1298
EPINAY SUR ORGE;87545228;Samedi;2017;2017-04-22;C;C;De 6h à 10h;522
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-28;B;B;De 6h à 10h;2017
BREUILLET VILLAGE;87545491;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;62
ERMONT EAUBONNE;87276055;Dimanche;2017;2017-04-23;C;C;Avant 6h;16
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;Dimanche;2019;2019-03-17;B;B;Après 20h;491
BREUILLET VILLAGE;87545491;JOB;2017;2017-04-25;C;C;Après 20h;32
ERMONT EAUBONNE;87276055;JOB;2017;2017-04-25;C;C;Après 20h;1369
AULNAY SOUS BOIS;87271411;Dimanche;2019;2019-03-17;B;B;De 10h à 16h;5859
BRIGEOLLET;87111111;JOB;2017;2017-04-25;C;C;De 10h à 16h;2
ETAMPES;87545137;Dimanche;2017;2017-04-23;C;C;Avant 6h;56
AULNAY SOUS BOIS;87271411;Samedi;2019;2019-03-16;B;B;Après 20h;2363
CHANVAL;87661111;JOB;2017;2017-04-25;C;C;De 10h à 16h;3
GENNEVILLIERS;87271205;Dimanche;2017;2017-04-23;C;C;Après 20h;132
PETIT VAUX;87393652;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;39
CHAVILLE VELIZY;87393173;Samedi;2017;2017-04-22;C;C;De 16h à 20h;423
GRAVIGNY BALIZY;87393645;Samedi;2017;2017-04-22;C;C;Après 20h;31
PETIT VAUX;87393652;JOB;2017;2017-04-25;C;C;Avant 6h;8
CHOISY LE ROI;87545285;Samedi;2017;2017-04-22;C;C;De 16h à 20h;3667
INVALIDES;87393033;JOB;2017;2017-04-25;C;C;Avant 6h;91
LA COURNEUVE AUBERVILLIERS;87271304;JOB;2019;2019-03-21;B;B;De 16h à 20h;1826
CHOISY LE ROI;87545285;Samedi;2017;2017-04-22;C;C;De 6h à 10h;2567
IVRY SUR SEINE;87545301;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;721
PIERRELAYE;87276097;JOB;2017;2017-04-25;C;C;De 6h à 10h;470
DOURDAN;87545525;Dimanche;2017;2017-04-23;C;C;Après 20h;61
JAVEL;87393066;JOB;2017;2017-04-25;C;C;Avant 6h;22
PLACE DU CARROUGE;87441111;Samedi;2017;2017-04-22;C;C;De 16h à 20h;2
DOURDAN;87545525;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;256
JAVEL;87393066;JOB;2017;2017-04-25;C;C;De 6h à 10h;1750
MITRY CLAYE;87271528;JOB;2019;2019-03-21;B;B;Avant 6h;0
EPINAY SUR ORGE;87545228;JOB;2017;2017-04-25;C;C;Avant 6h;122
JOUFFROY TOCQUEVILLE;87881111;Samedi;2017;2017-04-22;C;C;Après 20h;1
PONT DE L'ALMA;87393041;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;1354
EPINAY SUR SEINE;87271148;JOB;2017;2017-04-25;C;C;De 10h à 16h;853
JOUY EN JOSAS;87393512;Dimanche;2017;2017-04-23;C;C;Après 20h;25
PARC DES EXPOSITIONS;87271486;JOB;2019;2019-03-21;B;B;De 16h à 20h;115
ERMONT EAUBONNE;87276055;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;298
JUVISY;87545244;Samedi;2017;2017-04-22;C;C;De 16h à 20h;4848
PARIS NORD;87271031;Dimanche;2019;2019-03-17;B;B;Après 20h;12590
GENNEVILLIERS;87271205;JOB;2017;2017-04-25;C;C;De 6h à 10h;931
LA NORVILLE SAINT-GERMAIN LES ARPAJON;87545459;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;43
PARIS NORD;87271031;Dimanche;2019;2019-03-17;B;B;Avant 6h;1244
GENNEVILLIERS;87271205;Samedi;2017;2017-04-22;C;C;De 6h à 10h;244
LA NORVILLE SAINT-GERMAIN LES ARPAJON;87545459;JOB;2017;2017-04-25;C;C;De 16h à 20h;133
PARIS NORD;87271031;JOB;2019;2019-03-21;B;B;Après 20h;8975
GRAVIGNY BALIZY;87393645;Dimanche;2017;2017-04-23;C;C;Après 20h;16
LARDY;87545160;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;18
PARIS NORD;87271031;JOB;2019;2019-03-21;B;B;De 10h à 16h;15272
IGNY;87393561;Dimanche;2017;2017-04-23;C;C;Avant 6h;4
LARDY;87545160;JOB;2017;2017-04-25;C;C;Avant 6h;21
PORCHEFONTAINE;87393165;Dimanche;2017;2017-04-23;C;C;Après 20h;46
INVALIDES;87393033;Samedi;2017;2017-04-22;C;C;Après 20h;1967
LES ARDOINES;87492108;JOB;2017;2017-04-25;C;C;De 6h à 10h;1496
SEVRAN LIVRY;87271429;Samedi;2019;2019-03-16;B;B;De 10h à 16h;4074
IVRY SUR SEINE;87545301;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1811
LES GRESILLONS;87272146;Dimanche;2017;2017-04-23;C;C;Avant 6h;26
VERT GALANT;87271437;Dimanche;2019;2019-03-24;B;B;Après 20h;419
JOUFFROY TOCQUEVILLE;87881111;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;0
LES SAULES;87546226;JOB;2017;2017-04-25;C;C;De 10h à 16h;580
VERT GALANT;87271437;JOB;2019;2019-03-28;B;B;De 10h à 16h;2986
LES GRESILLONS;87272146;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;504
ACHERES VILLE;87381657;Samedi;2014;2014-05-17;A;A;De 6h à 10h;644
VERT GALANT;87271437;JOB;2019;2019-03-21;B;B;De 6h à 10h;187
LES GRESILLONS;87272146;JOB;2017;2017-04-25;C;C;Avant 6h;30
CERGY LE HAUT;87382655;Dimanche;2014;2014-05-18;A;A;Après 20h;446
VERT GALANT;87271437;Samedi;2019;2019-03-16;B;B;Après 20h;729
LES GRESILLONS;87272146;Samedi;2017;2017-04-22;C;C;De 6h à 10h;232
CERGY PREFECTURE;87381905;JOB;2018;2018-03-27;A;A;Avant 6h;210
SAINT-CHERON;87545509;Samedi;2017;2017-04-22;C;C;Avant 6h;11
LES SAULES;87546226;Samedi;2017;2017-04-22;C;C;Avant 6h;52
CERGY PREFECTURE;87381905;Samedi;2014;2014-05-17;A;A;Avant 6h;76
SAINT-CYR;87393223;Dimanche;2017;2017-04-23;C;C;Avant 6h;12
HOUILLES CARRIERES SUR SEINE;87386409;JOB;2018;2018-03-27;A;A;De 16h à 20h;3163
MEUDON VAL FLEURY;87393082;JOB;2017;2017-04-25;C;C;De 6h à 10h;2885
VILLEPINTE;87271452;JOB;2019;2019-03-21;B;B;De 10h à 16h;130
MAISONS LAFFITTE;87386425;Dimanche;2014;2014-05-18;A;A;Avant 6h;11
MEUDON VAL FLEURY;87393082;Samedi;2017;2017-04-22;C;C;Après 20h;226
SAINT-GRATIEN;87276170;JOB;2017;2017-04-25;C;C;De 16h à 20h;923
MAISONS LAFFITTE;87386425;Dimanche;2014;2014-05-18;A;A;De 6h à 10h;579
MONNERVILLE CENTRE;87332940;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1
ABLON;87545269;JOB;2017;2017-04-25;C;C;De 6h à 10h;1288
MONDESIR;87332932;Samedi;2017;2017-04-22;C;C;De 10h à 16h;0
MONNERVILLE CENTRE;87332940;Samedi;2017;2017-04-22;C;C;De 6h à 10h;1
SAINT-MICHEL NOTRE DAME;87547315;JOB;2017;2017-04-25;C;C;De 10h à 16h;12108
POISSY;87386573;Samedi;2014;2014-05-17;A;A;Avant 6h;97
MONTIGNY BEAUCHAMP;87276089;JOB;2017;2017-04-25;C;C;De 6h à 10h;2676
SAINT-MICHEL SUR ORGE;87545202;JOB;2017;2017-04-25;C;C;Après 20h;157
MUSEE D'ORSAY;87547307;Samedi;2017;2017-04-22;C;C;Avant 6h;13
AEROPORT CHARLES DE GAULLE 1;87271460;Dimanche;2019;2019-03-17;B;B;De 16h à 20h;2371
SAINT-OUEN L'AUMONE;87276105;JOB;2017;2017-04-25;C;C;Après 20h;66
AEROPORT CHARLES DE GAULLE 1;87271460;Dimanche;2019;2019-03-17;B;B;Après 20h;387
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-21;B;B;De 6h à 10h;332
ATHIS MONS;87545251;Samedi;2017;2017-04-22;C;C;De 16h à 20h;290
NEUILLY PORTE MAILLOT;87381020;JOB;2017;2017-04-25;C;C;De 6h à 10h;2247
NEUILLY PORTE MAILLOT;87381020;Samedi;2017;2017-04-22;C;C;De 16h à 20h;1365
SAINT-OUEN L'AUMONE LIESSE;87337980;JOB;2017;2017-04-25;C;C;Avant 6h;14
NEUILLY PORTE MAILLOT;87381020;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1042
ORLY VILLE;87546200;JOB;2017;2017-04-25;C;C;De 6h à 10h;1548
AVENUE FOCH;87381038;Samedi;2017;2017-04-22;C;C;De 16h à 20h;383
PEREIRE LEVALLOIS;87381012;Samedi;2017;2017-04-22;C;C;Avant 6h;2
PEREIRE LEVALLOIS;87381012;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;863
